ts	phase	decision	why	evidence	result
2026-08-23T20:42:12Z	grounding	Based the integration branch on the current remote main commit	The user's checkout is stale and contains unrelated work that must remain untouched	commit 5dc3b30560b2d7820d116d26d16c19ae69fc23c2	isolated branch ready
2026-08-23T20:42:12Z	scope	Chose one reviewable pull request with thematic commits and a sources-first gate	The datasets share provenance and evidence contracts, while commits still need to be independently reviewable	branch codex/all-sources-integration	one PR planned
2026-08-23T20:42:12Z	exactness	Defined completeness as every corpus element classified plus byte-preserving snapshots where publication is lawful and technically safe	A public Git repository cannot silently publish private metadata, unknown-license payloads, or files above platform limits	docs/ARCHITECTURE.md	51,303-element receipt required
2026-08-23T21:01:41Z	architecture	Selected the proof-carrying source ledger after two independent designs and a cross-judge	It preserves exact element and row accounting while keeping publication, privacy, licensing, and serving as explicit gates	docs/architecture/source-corpus-integration.md	architecture accepted; receipt-first implementation authorized
2026-08-23T21:01:41Z	audit-correction	Superseded the prior exactness evidence path with the actual architecture document	The earlier row referenced a planned filename and this log is append-only	docs/architecture/source-corpus-integration.md	current evidence path recorded without rewriting history
2026-08-23T21:51:30Z	receipt	Sealed a public receipt for every corpus element while retaining the exact path mapping only outside Git	Completeness must account for regular files, hard links, and symbolic links without publishing confidential paths	data/source-ledger/receipt.json	51,303 of 51,303 elements accounted; offline check passed
2026-08-23T21:51:30Z	datasets	Selected and sealed 43 current curated source variants with explicit row dispositions	Every source row must be public, retained as catalog or derivation input, or quarantined with a receipt; missing values remain distinct from zero	data/source-ledger/dataset-proof.json	58,871 source rows equals 52,500 public plus 3,558 catalog-only plus 2,813 derived-only; source verification passed
2026-08-23T21:51:30Z	source-catalog	Published a privacy-safe receipt for every distinct source identity and quarantined unsafe identities without dropping them	Public source coverage needs stable opaque identities while local paths, process labels, malformed values, and unreviewed text stay private	data/source-ledger/source-catalog-proof.json	12,702 of 12,702 identities accounted; 11,596 published and 1,106 quarantined; check passed
2026-08-23T22:35:48Z	scope-correction	Kept all 52,500 public-projection rows integrated even when reuse metadata is not declared	The application preserves the source disposition while showing license status without inventing one	scripts/etl/specs/integrated-curated-datasets.source.json	publication totals remain 52,500 public, 3,558 catalog-only, 2,813 derived-only
2026-08-23T22:35:48Z	privacy-hardening	Changed public row commitments to the redacted projection and scrubbed copied private identifiers, credentials, cookies, sessions, private paths, and unsafe URL parameters	A digest or duplicate value outside its declared private column can still leak private source data; missing markers must remain unchanged	tests/etl/test_integrated_curated_datasets.py	12 of 12 hostile synthetic tests pass on default Python and Python 3.12; n.d. fidelity preserved
2026-08-23T22:35:48Z	portability	Canonicalized gzip headers independently of the Python runtime	CI uses Python 3.12 while local generation uses a newer runtime; both must reproduce identical committed bytes	scripts/etl/integrated_curated_datasets.py	default and Python 3.12 offline checks pass
2026-08-23T22:35:48Z	strong-verification	Re-read the full private container and every selected curated source against the committed receipts	Offline proofs alone cannot establish source identity after a coordinated rewrite	data/source-ledger/receipt.json	51,303-element container verify-source and 43-dataset verify-source both passed
2026-08-23T22:53:10Z	nested-url-hardening	Quarantined source URLs whose callback or return parameter contains an encoded authentication or session assignment	A safe outer query key can otherwise conceal a sensitive nested key after one or more decoding rounds	tests/etl/test_curated_source_catalog.py	12,702 identities remain accounted; 11,594 published and 1,108 quarantined; 52,500 public dataset rows unchanged
2026-08-24T11:10:51Z	completeness-expansion	Superseded the 43-dataset projection with all 79 current structured source families found by the final inventory	The earlier release was internally closed but omitted current structured families that require an explicit row, catalog-only, or derived-only disposition	data/source-ledger/dataset-proof.json	13,369,619 source rows equals 338,782 public plus 13,027,996 catalog-only plus 2,841 derived-only; 2,537,014,778 source bytes committed
2026-08-24T11:10:51Z	source-catalog-expansion	Rebuilt the privacy-safe catalog from every source field in the 79-dataset specification	The expanded source families introduce additional official links and source identities while unsafe values must remain accounted but withheld	data/source-ledger/source-catalog-proof.json	34,071 identities and 262,618 occurrences accounted; 32,578 published and 1,493 quarantined; catalog SHA-256 bd28e08c84f5f99f127a7e350b0268314c90f9290881803140f20d6c2662448f
2026-08-24T11:10:51Z	editorial-crosswalk	Assigned each of the 79 datasets to one canonical editorial destination	The technical catalog is secondary; users need short previews that lead to thematic interpretation, records, sources, and structural caveats	tests/integrated-editorial.test.mjs	21 topic pages plus the participation preview cover every dataset exactly once
2026-08-24T11:18:30Z	final-79-contract	Closed the final public contract and maintainer documentation on the expanded 79-dataset specification	The release gate must use one explicit final state after the earlier 43-dataset checkpoints recorded above	src/lib/integrated-source-contract.ts	FINAL STATE: 79 datasets; 13,369,619 source rows; 338,782 public; 13,027,996 catalog-only; 2,841 derived-only; 34,071 source identities
2026-08-24T11:39:31Z	final-recount-correction	Superseded the preliminary 79-dataset totals with the CSV-aware record recount	Quoted newlines in OpenCUP must not become extra records, while two malformed Consip fragments remain preserved as physical units	docs/INTEGRATED_SOURCE_LEDGER.md	FINAL RECOUNT: 79 datasets; 13,321,128 source rows; 338,782 public; 12,979,505 catalog-only; 2,841 derived-only; 34,071 identities; OpenCUP 11,942,784 records versus 11,991,275 physical data lines; Consip 1,028,557 valid records plus 2 preserved fragments
