id,qualifica,titolo,testo,periodo,perimetro,fonti,calcolo,limiti
F01,documented,Il quadro più recente non coincide con la scomposizione COFOG,"Nel rilascio Istat di marzo 2026, la spesa complessiva delle PA del 2025 è pari al 51,1% del PIL e cresce del 3,9% nominale; il disavanzo è al 3,1% del PIL. La scomposizione uniforme usata in questo report resta quella COFOG 2024.",2025,"PA nazionali, conto economico SEC 2010",S03,,Rilascio di marzo 2026: non sostituisce la scomposizione COFOG dell’esercizio precedente.
F02,documented,Difesa: separare programmazione e spesa annuale,"L’UPB documentava nel giugno 2025 uno stanziamento di 35 miliardi per investimenti nella difesa sull’intero periodo 2025-2039, di cui circa 22,5 miliardi direttamente al Ministero della Difesa.","Programmazione esaminata nel 2025, orizzonte 2025-2039","Stanziamenti pluriennali, non pagamenti",S14,,Non sommare questo piano alla spesa COFOG annuale né assumerlo come quadro vigente nel 2026.
F03,documented,Carceri: pressione sulla capacità disponibile,"Alla fine del 2025, la tavola DAP riporta 63.499 detenuti presenti e 51.277 posti regolamentari. I posti regolamentari non equivalgono ai posti agibili.",2025-12-31,"Istituti penitenziari per adulti, Italia",S09,,La misura non corregge la capacità per i posti temporaneamente inutilizzabili.
F04,calculated,"123,8 detenuti ogni cento posti regolamentari","Il rapporto ricalcolato è 123,8%; le presenze oltre la capienza regolamentare sono 12.222. È un indicatore di pressione del servizio, non una misura monetaria di spreco.",2025-12-31,"Capienza regolamentare, non effettiva",S09,C01,Il rapporto rispetto ai soli posti agibili sarebbe diverso; non viene ricostruito qui.
F05,documented,La giustizia civile mostra anche un miglioramento,"Istat indica per il 2025 una durata media dei procedimenti civili di 409 giorni, contro 446 nel 2024.",2024-2025,Indicatore nazionale SDGs,S05,,Non è una stima delle ore di lavoro risparmiate né dell’esito di ogni ufficio.
F06,policy-risk,Incentivi: il rischio di pagare attività già convenienti,"Nell’esame del DDL 2026, l’UPB segnalava il rischio che gli sgravi basati sull’ammortamento favorissero imprese che avrebbero investito comunque. Evidenziava anche il ritardo del beneficio e il vincolo della capienza fiscale.",Valutazione ex ante del 6 novembre 2025,"Disegno degli incentivi, non esiti individuali",S15,,"È un rischio di addizionalità documentato, non una quota di sussidi accertata come inutile."
F07,documented,"Depurazione: un costo da inadempimento, non un’ipotesi statistica","La sentenza C-515/23 del 27 marzo 2025 condanna l’Italia a una somma forfettaria di 10 milioni di euro. Prevede inoltre una penalità base di 13.687.500 euro per semestre di ritardo, con riduzioni legate agli adeguamenti.",Sentenza 2025-03-27,Obbligo da sentenza; non pagamento di cassa verificato,S12,,Non sono verificati qui né il cumulato pagato né gli adeguamenti successivi; il valore base non è la penalità effettiva di ciascun semestre.
F08,calculated,"Perdite di distribuzione: 35,2% nei capoluoghi","Dall’efficienza di distribuzione del 64,8% pubblicata da Istat per i capoluoghi nel 2024 deriva una quota del 35,2% non erogata rispetto all’immesso. È una perdita di risorsa da analizzare, non il 35,2% di tutta la spesa idrica italiana.",2024,Comuni capoluogo di provincia e città metropolitana,S05,C02,Le perdite totali possono includere componenti reali e apparenti. Non tutte sono eliminabili e non sono monetizzabili alla tariffa al dettaglio.
F09,documented,Il disservizio idrico non è limitato a una singola opera,"Nel 2024 i capoluoghi con misure di razionamento salgono da 14 a 17. Nel 2025, 2,7 milioni di famiglie dichiarano irregolarità nella distribuzione dell’acqua in casa, il 10,2% del totale.",2024-2025,Capoluoghi per il razionamento; famiglie italiane per l’indagine,S08,,Razionamento nei capoluoghi e irregolarità dichiarate dalle famiglie hanno popolazioni di riferimento diverse.
F10,documented,Abitazione: una media nazionale relativamente favorevole non esclude i divari,"Nel 2025 il sovraccarico del costo dell’abitazione riguarda il 5,0% dei residenti, rispetto al 7,7% nella media UE riportata da Istat.",2025,"Indicatore sulle famiglie, non bilancio degli alloggi pubblici",S05,,La media nazionale non misura l’efficacia del patrimonio abitativo pubblico.
F11,documented,Sanità: aumenta la rinuncia alle prestazioni,"Nel 2024 rinuncia ad accertamenti diagnostici o visite specialistiche il 9,9% delle persone, circa 5,8 milioni, rispetto al 7,6% nel 2023. Sono escluse le visite odontoiatriche.",2023-2024,"Persone che dichiarano bisogno e rinuncia, indagine Istat",S04,,"La rinuncia non permette da sola di separare carenza di risorse, cattiva organizzazione e domanda clinica."
F12,documented,Le liste d’attesa sono una componente importante del problema,"La rinuncia per attese troppo lunghe è indicata dal 6,8% della popolazione nel 2024; era il 4,5% nel 2023.",2023-2024,"Popolazione, non percentuale dei soli rinuncianti",S04,,Non sommare motivazioni della rinuncia: possono sovrapporsi.
F13,calculated,"Rinuncia alle cure: +2,3 punti percentuali","Il confronto 9,9% meno 7,6% restituisce un aumento di 2,3 punti percentuali. L’incremento relativo è circa il 30,3%, misura diversa dall’aumento in punti.",2023-2024,Stesso indicatore Istat di rinuncia,S04,C03,"Variazione della quota di popolazione, non della spesa sanitaria."
